Employee ID,Name,Department,Job Title,Location,Salary
E085,Jillian Hardy,HR,Analyst,Jameston,88759
E086,Bill Suarez,Sales,Specialist,Lake Jason,48672
E087,Emily Benton,HR,Executive,Medinamouth,73444
E088,Randall Lindsey,Engineering,Executive,West Eric,83087
E089,Maria Miranda,IT,Executive,Samuelstad,56041
E090,Andrea Craig,IT,Specialist,Hartmanberg,71390
E091,Michael Roberts,Finance,Executive,South Samanthabury,71268
E092,Johnny Weiss,HR,Executive,Stephenchester,83722
E093,Andrew Ford,Engineering,Manager,Johnsonberg,88156
E094,Todd Howell,Engineering,Analyst,Port Jonathan,53281
E095,Christopher Nguyen,Marketing,Coordinator,Christopherland,61714
E096,Robert Nguyen,Operations,Analyst,South Brookeview,80191
E097,Susan Richardson,HR,Specialist,Lisaburgh,78192
E098,Amy Johnson,Finance,Manager,Thomasborough,73911
E099,Barbara Howard,Engineering,Engineer,Michaelside,98379
E100,Janice Mercer,HR,Specialist,Brianton,58647
